,Date,Open,Close,High,Low,Volume
184,1634990400000,1.0935,1.0905,1.0946,1.0902,84283.31276658
185,1634986800000,1.0811,1.0934,1.0934,1.0764,356629.41479403
186,1634983200000,1.0873,1.0811,1.0891,1.0805,139095.09071403
187,1634979600000,1.092,1.0868,1.0928,1.0835,96146.67810257
188,1634976000000,1.0914,1.0919,1.0943,1.0909,151842.5814418
189,1634972400000,1.0918,1.092,1.0935,1.0871,70541.59401217
190,1634968800000,1.0896,1.0917,1.092,1.0847,70659.2879868
191,1634965200000,1.0942,1.0891,1.0951,1.0875,73220.19800759
192,1634961600000,1.0925,1.0949,1.0975,1.091,107120.57262316
193,1634958000000,1.0907,1.092,1.0936,1.0888,70629.95728369
194,1634954400000,1.0888,1.0906,1.0918,1.0875,69049.62902959
195,1634950800000,1.0924,1.0898,1.094,1.0871,82115.8688418
196,1634947200000,1.0887,1.0921,1.0928,1.0813,240985.29947176
197,1634943600000,1.0878,1.0889,1.0931,1.0865,267709.56603519997
198,1634940000000,1.0794,1.0891,1.09,1.0788,158454.42446016
199,1634936400000,1.0907,1.0796,1.0938,1.0774,356683.40243434
200,1634932800000,1.0946,1.0909,1.0973,1.0906,279808.99965204997
201,1634929200000,1.0886,1.095,1.095,1.0854,123253.30206672
202,1634925600000,1.085,1.0914,1.0945,1.0848,332828.5878683
203,1634922000000,1.0977,1.0858,1.1004,1.0852,407136.44615684
204,1634918400000,1.0943,1.099,1.1032,1.0822,659919.10730004
205,1634914800000,1.1156,1.094,1.1285,1.0922,832166.59973172
206,1634911200000,1.0912,1.1155,1.1222,1.0746,2590117.02151748
207,1634907600000,1.1069,1.0918,1.1074,1.0905,369992.46413734
208,1634904000000,1.1039,1.1072,1.1086,1.1,114079.44183161
209,1634900400000,1.1024,1.1041,1.105,1.0992,216984.69269488
210,1634896800000,1.1031,1.1025,1.1037,1.0959,294081.87303922
211,1634893200000,1.1101,1.1031,1.1112,1.1001,228187.28431608
212,1634889600000,1.1079,1.1101,1.1116,1.1068,774106.3702972
213,1634886000000,1.0997,1.1077,1.1142,1.0997,1261650.62692223
214,1634882400000,1.1058,1.0995,1.1088,1.0933,355414.87859828
215,1634878800000,1.106,1.1058,1.108,1.1002,145379.95363245
216,1634875200000,1.1068,1.1061,1.1091,1.1046,93475.50670486
217,1634871600000,1.1022,1.1066,1.1096,1.1022,175429.42885083
218,1634868000000,1.0993,1.1018,1.1042,1.0981,101271.77752629
219,1634864400000,1.1018,1.099,1.1069,1.0988,217962.50791751
220,1634860800000,1.0887,1.1023,1.1026,1.0882,494599.98185718
221,1634857200000,1.0939,1.0885,1.0985,1.0845,331079.19326718
222,1634853600000,1.1009,1.0939,1.1055,1.0915,126113.61158044
223,1634850000000,1.0988,1.1007,1.1036,1.0955,238046.25341268998
224,1634846400000,1.0983,1.0983,1.1018,1.0921,520406.10454501
225,1634842800000,1.0959,1.0986,1.1057,1.0946,465625.72664607
226,1634839200000,1.0965,1.0948,1.1059,1.0936,359393.66281164
227,1634835600000,1.098,1.0955,1.108,1.0947,824875.05640661
228,1634832000000,1.1126,1.0989,1.1153,1.0968,1593962.43224627
229,1634828400000,1.1083,1.1129,1.1152,1.0855,1543168.43629996
230,1634824800000,1.1303,1.1093,1.1331,1.0987,1931222.70378861
231,1634821200000,1.1343,1.1286,1.1395,1.1279,374904.95873996
232,1634817600000,1.1327,1.1345,1.1372,1.1154,1305821.2751312
233,1634814000000,1.1548,1.1327,1.1618,1.1252,1860243.82222739
234,1634810400000,1.1592,1.1547,1.1593,1.1523,579329.61543844
235,1634806800000,1.1465,1.1593,1.1619,1.1433,1035156.89653491
236,1634803200000,1.1386,1.1461,1.1482,1.138,445719.78309682
237,1634799600000,1.1384,1.138,1.1431,1.1332,571261.98890872
238,1634796000000,1.1438,1.1382,1.1475,1.1323,644530.83110004
239,1634792400000,1.1452,1.1435,1.1481,1.1414,248195.6088615
240,1634788800000,1.1459,1.1453,1.1468,1.138,123043.29632439
241,1634785200000,1.1435,1.1459,1.1463,1.134,426814.61745125003
242,1634781600000,1.1447,1.1436,1.1486,1.1222,2263678.66417764
243,1634778000000,1.1526,1.1447,1.1648,1.1381,1556760.05111367
244,1634774400000,1.1464,1.1529,1.1619,1.1396,1675137.500951
245,1634770800000,1.1341,1.146,1.1467,1.1336,378099.4307128
246,1634767200000,1.1393,1.1336,1.1422,1.1323,595074.64613254
247,1634763600000,1.1416,1.1393,1.1529,1.1359,1097092.11777095
248,1634760000000,1.1485,1.1415,1.1487,1.1333,801973.32771661
249,1634756400000,1.1482,1.148,1.1531,1.1451,472626.276012
250,1634752800000,1.1401,1.1483,1.1493,1.1387,362819.50815302
251,1634749200000,1.1412,1.1402,1.1423,1.1362,551181.85938611
252,1634745600000,1.1428,1.141,1.15,1.1394,798457.50156389
253,1634742000000,1.1352,1.1428,1.1432,1.13,745235.57764199
254,1634738400000,1.1283,1.1354,1.1398,1.1279,1434196.39824956
255,1634734800000,1.1192,1.1293,1.1294,1.1144,1122322.02927357
256,1634731200000,1.1091,1.1188,1.1244,1.1091,794993.62942498
257,1634727600000,1.1037,1.1095,1.1095,1.1022,116658.34081036
258,1634724000000,1.106,1.1041,1.1079,1.1008,333768.70558951
259,1634720400000,1.1149,1.1056,1.1156,1.1045,402249.97898646
260,1634716800000,1.1007,1.1152,1.12,1.0987,710465.75215587
261,1634713200000,1.1001,1.1001,1.1013,1.0991,121844.50484476
262,1634709600000,1.0982,1.0997,1.1026,1.0956,163565.0901527
263,1634706000000,1.1037,1.0982,1.1088,1.0928,328874.08022223
264,1634702400000,1.0996,1.1037,1.1042,1.0966,96632.6837437
265,1634698800000,1.0961,1.0992,1.1059,1.0957,175478.37746617
266,1634695200000,1.0939,1.0951,1.0969,1.0914,130277.75001116
267,1634691600000,1.096,1.0938,1.1096,1.0901,624752.55223305
268,1634688000000,1.0911,1.0969,1.0992,1.0872,180956.66266398
269,1634684400000,1.09,1.0911,1.0932,1.0891,253531.78139118
270,1634680800000,1.0846,1.0904,1.0918,1.0843,195069.69135678
271,1634677200000,1.0767,1.0846,1.0867,1.0751,237203.2790799
272,1634673600000,1.0777,1.0764,1.0819,1.0762,285718.01152835
273,1634670000000,1.0861,1.0778,1.0871,1.077,378177.03768976
274,1634666400000,1.0892,1.086,1.0909,1.0852,119158.00279598
275,1634662800000,1.0835,1.0892,1.0915,1.0835,362532.96097225
276,1634659200000,1.0786,1.0832,1.0845,1.0771,316923.56542985
277,1634655600000,1.0828,1.0782,1.0852,1.0779,256231.12192002
278,1634652000000,1.0903,1.0829,1.0903,1.0658,870891.80179146
279,1634648400000,1.0884,1.0904,1.0986,1.0861,560308.62471885
280,1634644800000,1.087,1.0892,1.0913,1.0839,103008.10280679
281,1634641200000,1.0861,1.0873,1.0902,1.0844,117340.62158424
282,1634637600000,1.0854,1.0862,1.0895,1.0838,72868.78511495
283,1634634000000,1.0895,1.0856,1.0922,1.0822,352986.90870366
284,1634630400000,1.0912,1.0896,1.0913,1.0812,205579.00874562
285,1634626800000,1.0879,1.0909,1.093,1.086,237996.62755937
286,1634623200000,1.0941,1.0879,1.0949,1.0867,136549.96405279
287,1634619600000,1.0955,1.0941,1.0969,1.0909,86742.62513074
288,1634616000000,1.0976,1.0955,1.0991,1.0951,139317.081269
289,1634612400000,1.0891,1.0974,1.1015,1.0863,241280.92763655
290,1634608800000,1.0937,1.0883,1.0947,1.0882,192321.28504516
291,1634605200000,1.0816,1.092,1.0974,1.0772,935510.95511913
292,1634601600000,1.0833,1.0809,1.0867,1.078,152957.24939968
293,1634598000000,1.0852,1.0832,1.0866,1.0793,149779.72896053
294,1634594400000,1.0864,1.086,1.0876,1.0796,92943.32734857
295,1634590800000,1.0814,1.086,1.0886,1.0788,363129.26673882
296,1634587200000,1.0781,1.0816,1.0852,1.074,113087.37412877
297,1634583600000,1.08,1.0785,1.08,1.0711,334748.71365837
298,1634580000000,1.0801,1.0807,1.0834,1.078,191658.42011635
299,1634576400000,1.084,1.08,1.0871,1.08,292908.93405418
300,1634572800000,1.0894,1.0838,1.092,1.08,534634.62724929
301,1634569200000,1.0906,1.0893,1.0918,1.0846,697713.31151149
302,1634565600000,1.09,1.0902,1.0918,1.0808,572643.57569189
303,1634562000000,1.0801,1.0899,1.0906,1.0641,875722.49773743
304,1634558400000,1.0821,1.0804,1.0857,1.073,496096.67657141
305,1634554800000,1.089,1.083,1.0897,1.0773,243053.41636233
306,1634551200000,1.0873,1.0891,1.0914,1.0736,393999.8742875
307,1634547600000,1.0848,1.0878,1.1034,1.0732,925583.93841434
308,1634544000000,1.0921,1.0856,1.0949,1.0837,381544.06987105
309,1634540400000,1.0966,1.0923,1.106,1.0911,293257.17945299
310,1634536800000,1.0955,1.0963,1.1012,1.0937,271120.20705169
311,1634533200000,1.0943,1.0956,1.0959,1.0887,139534.05260113
312,1634529600000,1.0959,1.0947,1.0977,1.0858,724830.77189181
313,1634526000000,1.1005,1.0961,1.1027,1.0867,1185200.13828167
314,1634522400000,1.1002,1.1006,1.1036,1.0972,431109.37978846
315,1634518800000,1.1017,1.099,1.1047,1.0969,847638.48205234
316,1634515200000,1.0948,1.1025,1.1072,1.0903,463421.67051271
317,1634511600000,1.0932,1.0942,1.0942,1.0878,391971.39040189
318,1634508000000,1.0844,1.094,1.0948,1.0819,1174731.31500327
319,1634504400000,1.0579,1.0837,1.0852,1.0568,1205545.74717393
320,1634500800000,1.1078,1.0589,1.1079,1.0171,7301553.00839958
321,1634497200000,1.1196,1.1085,1.1203,1.1046,743149.35974837
322,1634493600000,1.1196,1.1196,1.1226,1.1183,163758.09802164
323,1634490000000,1.1225,1.1195,1.1238,1.1179,269778.52529170003
324,1634486400000,1.117,1.1225,1.1232,1.1164,350340.00056881
325,1634482800000,1.1298,1.1167,1.1309,1.1111,1481836.46342073
326,1634479200000,1.1326,1.1292,1.133,1.1255,231437.00157122
327,1634475600000,1.1309,1.1323,1.1354,1.1283,87910.02472577
328,1634472000000,1.1311,1.1301,1.1326,1.1251,317895.72312166
329,1634468400000,1.1366,1.1305,1.1392,1.13,158973.86902471
330,1634464800000,1.134,1.1372,1.14,1.1319,212320.40536375
331,1634461200000,1.1296,1.1337,1.1344,1.128,187392.24948959
332,1634457600000,1.1253,1.1301,1.1321,1.1251,248135.7369234
333,1634454000000,1.1329,1.125,1.1361,1.125,206005.37537019
334,1634450400000,1.1305,1.1329,1.1353,1.1301,347052.92413315
335,1634446800000,1.1341,1.1298,1.1363,1.1277,130830.04245412
336,1634443200000,1.1345,1.1344,1.1375,1.1333,122409.97266733
337,1634439600000,1.132,1.1351,1.1375,1.1304,152605.02794843
338,1634436000000,1.1345,1.1327,1.1362,1.1291,334140.37501041
339,1634432400000,1.1314,1.1345,1.1372,1.1309,475264.85681598
340,1634428800000,1.135,1.1317,1.1355,1.12,1172818.45388962
341,1634425200000,1.1388,1.1344,1.1429,1.1323,107702.50024296
342,1634421600000,1.1342,1.1382,1.1403,1.13,180231.853216
343,1634418000000,1.1444,1.1342,1.1445,1.1315,197848.08215585
344,1634414400000,1.1459,1.1432,1.1479,1.1333,355367.41591098
345,1634410800000,1.1456,1.1463,1.1479,1.1424,191653.23212934
346,1634407200000,1.1484,1.1449,1.1489,1.1425,373928.26522456
347,1634403600000,1.1532,1.1486,1.1532,1.1411,549202.02230127
348,1634400000000,1.1544,1.1536,1.1588,1.1495,345915.86332059
349,1634396400000,1.1535,1.1538,1.1584,1.1474,469495.71988168
350,1634392800000,1.1511,1.1541,1.1642,1.1458,791094.13302981
351,1634389200000,1.144,1.1511,1.1525,1.1356,731498.22004306
352,1634385600000,1.1729,1.1451,1.1869,1.1408,2808214.62231092
353,1634382000000,1.1608,1.173,1.1785,1.1608,1647915.24954172
354,1634378400000,1.1522,1.1604,1.1639,1.1522,516605.24371823
355,1634374800000,1.1516,1.1524,1.1532,1.1465,235391.67837279
356,1634371200000,1.1382,1.1513,1.1552,1.1367,848005.48781829
357,1634367600000,1.1382,1.1383,1.1393,1.135,269969.65857928
358,1634364000000,1.1428,1.1379,1.1442,1.1369,98638.70923526
359,1634360400000,1.1395,1.1427,1.1454,1.1392,65384.18975299
360,1634356800000,1.1377,1.1403,1.1442,1.1357,216407.77365844
361,1634353200000,1.143,1.1376,1.1448,1.1355,169213.2171188
362,1634349600000,1.1368,1.143,1.143,1.131,203572.6849609
363,1634346000000,1.1382,1.1376,1.1491,1.1317,378875.05028671
364,1634342400000,1.1423,1.1384,1.1479,1.1357,398427.82535197
365,1634338800000,1.1381,1.1418,1.1451,1.1379,295693.25889944
366,1634335200000,1.1384,1.1387,1.1419,1.1357,157855.4308292
367,1634331600000,1.1527,1.1376,1.1557,1.1351,993550.06138461
368,1634328000000,1.1455,1.1527,1.1555,1.1404,861551.33137138
369,1634324400000,1.1482,1.1452,1.1495,1.1407,483150.70258512
370,1634320800000,1.135,1.1483,1.1484,1.1347,417767.82402958
371,1634317200000,1.1356,1.1341,1.1404,1.1315,394635.77190048003
372,1634313600000,1.1261,1.135,1.1365,1.1218,660777.1690394
373,1634310000000,1.123,1.1256,1.1317,1.1215,556267.98803628
374,1634306400000,1.1231,1.1232,1.1249,1.1166,513661.31650783
375,1634302800000,1.1154,1.1229,1.1259,1.1144,854612.46731524
376,1634299200000,1.118,1.1155,1.1225,1.1143,787842.52190891
377,1634295600000,1.1159,1.1186,1.1225,1.1153,426608.22263339
378,1634292000000,1.117,1.1159,1.1212,1.1087,498874.76507584
379,1634288400000,1.1155,1.1177,1.1181,1.0919,1223067.17233531
380,1634284800000,1.1422,1.1159,1.1439,1.11,1578666.18785727
381,1634281200000,1.1391,1.1423,1.1442,1.1333,476503.55676236
382,1634277600000,1.1456,1.1383,1.1655,1.1304,1651345.45462812
383,1634274000000,1.1357,1.145,1.1496,1.1345,474908.81031954
384,1634270400000,1.1362,1.1362,1.1383,1.1273,195563.20191449
385,1634266800000,1.1355,1.1349,1.1394,1.1326,175111.47858099
386,1634263200000,1.1142,1.1361,1.1372,1.1084,934600.84766257
387,1634259600000,1.114,1.114,1.1173,1.1047,407406.7490062
388,1634256000000,1.1341,1.114,1.1341,1.1069,1819011.2954405
389,1634252400000,1.1335,1.1339,1.1371,1.1277,60180.53972785
390,1634248800000,1.1329,1.1336,1.1344,1.1289,88913.4156839
391,1634245200000,1.1297,1.1333,1.1374,1.1282,208073.66612432
392,1634241600000,1.1324,1.1295,1.1384,1.1236,510966.62272279
393,1634238000000,1.1353,1.1324,1.1391,1.1234,235942.03684901
394,1634234400000,1.1315,1.1353,1.1364,1.1253,318080.53917032
395,1634230800000,1.1273,1.1328,1.1361,1.1249,163875.84372844
396,1634227200000,1.137,1.1281,1.14,1.1248,390724.44281107
397,1634223600000,1.1428,1.1358,1.1442,1.1255,1276170.2857460899
398,1634220000000,1.1351,1.1434,1.158,1.135,884623.00393305
399,1634216400000,1.1346,1.1352,1.1412,1.1305,435676.47421256
400,1634212800000,1.14,1.1337,1.1424,1.1312,390543.49213461
